created,application_id,ref_type,ref_hash,click_hash,attributed,implicit,device_countrycode,device_brand,device_model,session_user_agent,user_agent,event_uuid,kind,wifi,trans_id,ip_address,device_language
2019-03-13 18:42:57.790,2,1891515180541284343,6029963007073660408,,False,False,6333597102633388268,2.208834667126999e+18,3.861844014453643e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 9; motorola one Build/PPKS29.68-16-21-3),,,true,,25853045025797758,9.0283826551012e+18
2019-03-13 01:38:59.934,2,1891515180541284343,4018440826383778782,,False,False,6333597102633388268,3.083058605577787e+17,2.616228068988996e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J320M Build/LMY47V),,,true,,5997848429649592955,9.0283826551012e+18
2019-03-13 01:41:52.323,2,1891515180541284343,4567800971603545807,,False,False,6333597102633388268,3.083058605577787e+17,2.0664313823771248e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G570M Build/R16NW),,,true,,7174799503430545910,9.0283826551012e+18
2019-03-13 01:41:31.932,2,1891515180541284343,4567800971603545807,,False,True,6333597102633388268,3.083058605577787e+17,2.0664313823771248e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G570M Build/R16NW),1bf8babb-7fab-4cd4-b245-d7f704759c70,open,true,,7174799503430545910,9.0283826551012e+18
2019-03-13 23:48:03.589,2,1891515180541284343,1844739705785719753,,False,False,6333597102633388268,2.5232459822329236e+18,8.604122202547542e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.0; LG-M250 Build/NRD90U),,,true,,1933486918445844180,9.0283826551012e+18
2019-03-13 23:09:55.098,2,1891515180541284343,1844739705785719753,,False,True,6333597102633388268,2.5232459822329236e+18,8.604122202547542e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.0; LG-M250 Build/NRD90U),46a674c0-3025-4ec6-928d-50cc8cc6dc4c,registration,true,,1933486918445844180,9.0283826551012e+18
2019-03-09 23:28:46.033,2,1891515180541284343,3367446934812197729,,False,False,6333597102633388268,2.208834667126999e+18,8.24021333464396e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; Moto Z2 Play Build/OPSS27.76-12-25-13),,,true,,3152969854797135243,9.0283826551012e+18
2019-03-09 00:16:33.738,2,1891515180541284343,5120511123345079020,,False,False,6333597102633388268,3.083058605577787e+17,5.185005114454735e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531BT Build/LMY48B),,,true,,7420867800870888706,9.0283826551012e+18
2019-03-09 00:48:36.248,2,1891515180541284343,8694484383091636627,,False,False,6333597102633388268,3.083058605577787e+17,3.686066659168077e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.1.1; SM-J250M Build/NMF26X),,,true,,3162368506662488065,9.0283826551012e+18
2019-03-09 22:14:33.927,2,1891515180541284343,6172077851210608484,,False,False,6333597102633388268,3.083058605577787e+17,2.0664313823771248e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G570M Build/R16NW),,,true,,2706357072127963511,9.0283826551012e+18
2019-03-09 22:14:25.369,2,1891515180541284343,6172077851210608484,,False,True,6333597102633388268,3.083058605577787e+17,2.0664313823771248e+17,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-G570M Build/R16NW),a886f01d-b618-46da-9f0a-999bf355d0b4,open,true,,2706357072127963511,9.0283826551012e+18
2019-03-09 22:52:32.704,2,1891515180541284343,5820502606943331165,,False,False,6333597102633388268,2.208834667126999e+18,5.513608497912795e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.1.1; Moto E (4) Plus Build/NMA26.42-167),,,true,,174775184228751917,9.0283826551012e+18
2019-03-09 03:33:10.921,2,1891515180541284343,2880153940384796813,,False,False,6333597102633388268,3.083058605577787e+17,7.398943457855356e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531H Build/LMY48B),,,true,,8147656170929507717,9.0283826551012e+18
2019-03-09 21:55:59.824,2,1891515180541284343,1168650705138627708,,False,False,6333597102633388268,3.083058605577787e+17,4.281729328614173e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J510MN Build/MMB29M),,,true,,1522037307350084579,9.0283826551012e+18
2019-03-09 21:56:12.464,2,1891515180541284343,5256312483751829027,,False,False,6333597102633388268,3.083058605577787e+17,5.807203831814816e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-J810M Build/R16NW),,,true,,6324037615828123965,9.0283826551012e+18
2019-03-09 19:03:48.622,2,1891515180541284343,3406719223249881746,,False,False,6333597102633388268,2.208834667126999e+18,3.0574023248014715e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; moto g(6) play Build/OPPS27.91-177-2),,,true,,3421064529277312397,9.0283826551012e+18
2019-03-09 15:27:11.302,2,1891515180541284343,8793241368096682294,,False,False,6333597102633388268,2.5232459822329236e+18,8.604122202547542e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 7.0; LG-M250 Build/NRD90U),,,true,,8010533080341024188,9.0283826551012e+18
2019-03-09 16:10:55.853,2,1891515180541284343,308346940772792491,,False,False,6333597102633388268,3.083058605577787e+17,8.163782690166159e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.0.0; SM-J400M Build/R16NW),,,true,,4989157058562370965,9.0283826551012e+18
2019-03-09 16:14:41.287,2,1891515180541284343,6125448465739385136,,False,False,6333597102633388268,3.083058605577787e+17,2.2214300728469727e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 8.1.0; SM-J530G Build/M1AJQ),,,true,,2024719022326595257,9.0283826551012e+18
2019-03-10 23:52:55.660,2,1891515180541284343,4982306354349988433,,False,False,6333597102633388268,3.083058605577787e+17,1.7545278564638182e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G532M Build/MMB29T),,,true,,627974920620404284,9.0283826551012e+18
2019-03-10 23:52:51.152,2,1891515180541284343,4982306354349988433,,False,True,6333597102633388268,3.083058605577787e+17,1.7545278564638182e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-G532M Build/MMB29T),323bcdd6-b6c9-4c36-9afa-468494825d9f,open,true,,627974920620404284,9.0283826551012e+18
2019-03-10 16:59:23.940,2,1891515180541284343,1423362898336266685,,False,False,6333597102633388268,3.083058605577787e+17,7.398943457855356e+18,http-kit/2.0,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531H Build/LMY48B),,,true,,4548788455223427408,9.0283826551012e+18
